MethodKey,Method,ProtocolKey,Protocol,Split,Seed,Scope,Class,Precision,Recall,F1,Support,Predicted_Support
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,hallway,0.9278350515463918,0.6617647058823529,0.7725321888412017,408,291
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,kitchen,0.8595461658841941,0.7289316522893166,0.7888689407540395,3014,2556
rf_paper60_kl,Random Forest (60 s paper-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,nurse station,0.9093242087254063,0.9169062679700978,0.9130994989262706,3478,3507
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,501,0.9438202247191011,0.525,0.6746987951807228,160,89
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,502,0.9523809523809523,0.5128205128205128,0.6666666666666666,117,63
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,503,0.948051948051948,0.9733333333333334,0.9605263157894737,75,77
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,505,0.8888888888888888,0.8,0.8421052631578947,10,9
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,506,1.0,0.9586776859504132,0.9789029535864979,121,116
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,508,1.0,0.9315068493150684,0.9645390070921985,73,68
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,510,0.92,0.9583333333333334,0.9387755102040817,48,50
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,511,0.9765625,0.9328358208955224,0.9541984732824428,134,128
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,512,0.9442231075697212,0.864963503649635,0.9028571428571428,274,251
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,513,0.9456521739130435,0.7543352601156069,0.8392282958199357,346,276
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,515,1.0,0.8435754189944135,0.9151515151515152,179,151
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,516,0.7777777777777778,0.7777777777777778,0.7777777777777778,9,9
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,517,0.9736842105263158,0.9736842105263158,0.9736842105263158,38,38
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,518,0.8648648648648649,0.8,0.8311688311688312,40,37
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,520,0.9469964664310954,0.7859237536656891,0.8589743589743589,341,283
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,521,0.0,0.0,0.0,1,0
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,522,0.9746192893401016,0.7710843373493976,0.8609865470852018,249,197
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,523,0.6760958205912334,0.9958708708708709,0.8054037644201578,2664,3924
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,cafeteria,0.9678824169842134,0.9241164241164241,0.9454932198883276,1924,1837
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,cleaning,0.9293478260869565,0.7880184331797235,0.8528678304239401,434,368
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,hallway,0.945054945054945,0.8431372549019608,0.8911917098445595,408,364
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,kitchen,0.9818780889621087,0.7909754479097545,0.8761484748254318,3014,2428
lgbm_basic60_kl_full_smote,LightGBM (60 s RSSI summary + KL-full relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,nurse station,0.983402489626556,0.9539965497412306,0.968476357267951,3478,3374
rf_basic10_symmetric_smote,Random Forest (10 s RSSI summary + symmetric relabeling + SMOTE),row_random,Naive stratified row-random 70/30,seed42,42.0,split,501,0.6888888888888889,0.19375,0.3024390243902439,160,45
